The Demolished Man by Alfred Bester (1953) | Science fiction novel
They'd Rather Be Right by Mark Clifton (1955) | Science Fiction
Double Star by Robert A. Heinlein (1956) | Science fiction novel
The Big Time by Fritz Leiber (1958) | Science Fiction
A Case of Conscience by James Blish (1959) | science fiction novel
We Have Fed Our Sea by Poul Anderson (1959) | unknown
Who? by Algis Budrys (1959) | Science fiction novel
none by Robert A. Heinlein (1959) | Science fiction novel
Immortality, Inc. by Robert Sheckley (1959) | unknown
Starship Troopers by Robert A. Heinlein (1960) | Military science fiction
Dorsai! by Gordon R. Dickson (1960) | Military Science Fiction
The Pirates of Ersatz by Murray Leinster (1960) | unknown
That Sweet Little Old Lady by Mark Phillips (1960) | unknown
The Sirens of Titan by Kurt Vonnegut (1960) | Fantasy
A Canticle for Leibowitz by Walter M. Miller, Jr. (1961) | Science fiction
The High Crusade by Poul Anderson (1961) | Science fiction novel
Rogue Moon by Algis Budrys (1961) | Science fiction novel
Deathworld by Harry Harrison (1961) | unknown
Venus Plus X by Theodore Sturgeon (1961) | unknown
Stranger in a Strange Land by Robert A. Heinlein (1962) | Science fiction novel
Dark Universe by Daniel F. Galouye (1962) | Science fiction novel
Planet of the Damned by Harry Harrison (1962) | unknown
The Fisherman by Clifford D. Simak (1962) | unknown
Second Ending by James White (1962) | unknown
The Man in the High Castle by Philip K. Dick (1963) | Alternate history
The Sword of Aldones by Marion Zimmer Bradley (1963) | Science fiction novel
A Fall of Moondust by Arthur C. Clarke (1963) | Science fiction
Little Fuzzy by H. Beam Piper (1963) | Science Fiction
Sylva by Jean Bruller (1963) | unknown
Way Station by Clifford D. Simak (1964) | Science Fiction
Glory Road by Robert A. Heinlein (1964) | Fantasy
Witch World by Andre Norton (1964) | unknown
Dune World by Frank Herbert (1964) | Planetary romance
Cat's Cradle by Kurt Vonnegut (1964) | Satire
The Wanderer by Fritz Leiber (1965) | science fiction novel
The Whole Man by John Brunner (1965) | Science fiction novel
Davy by Edgar Pangborn (1965) | unknown
The Planet Buyer by Cordwainer Smith (1965) | Science fiction
Dune by Frank Herbert (1966) | Planetary romance
...And Call Me Conrad by Roger Zelazny (1966) | Science fiction
The Squares of the City by John Brunner (1966) | Science Fiction
The Moon Is a Harsh Mistress by Robert A. Heinlein (1966) | Science fiction novel
Skylark DuQuesne by Edward E. Smith (1966) | Science fiction novel
The Moon Is a Harsh Mistress by Robert A. Heinlein (1967) | Science fiction novel
Babel-17 by Samuel R. Delany (1967) | Science fiction novel
Too Many Magicians by Randall Garrett (1967) | Fantasy
Flowers for Algernon by Daniel Keyes (1967) | Science fiction
The Witches of Karres by James H. Schmitz (1967) | Science fiction novel
Day of the Minotaur by Thomas Burnett Swann (1967) | unknown
Lord of Light by Roger Zelazny (1968) | Science fiction
The Einstein Intersection by Samuel R. Delany (1968) | Science fiction
Chthon by Piers Anthony (1968) | Science fiction novel
The Butterfly Kid by Chester Anderson (1968) | Science fiction
Thorns by Robert Silverberg (1968) | Science Fiction
Stand on Zanzibar by John Brunner (1969) | Dystopian
Rite of Passage by Alexei Panshin (1969) | Science Fiction
Nova by Samuel R. Delany (1969) | Science fiction novel
Past Master by R. A. Lafferty (1969) | science fiction
The Goblin Reservation by Clifford D. Simak (1969) | unknown
The Left Hand of Darkness by Ursula K. Le Guin (1970) | Science fiction novel
Up the Line by Robert Silverberg (1970) | Science fiction
Macroscope by Piers Anthony (1970) | Science fiction novel
Slaughterhouse-Five by Kurt Vonnegut (1970) | Dark comedy
Bug Jack Barron by Norman Spinrad (1970) | Science fiction
Ringworld by Larry Niven (1971) | science fiction novel
Tau Zero by Poul Anderson (1971) | Science fiction novel
Tower of Glass by Robert Silverberg (1971) | Science fiction
The Year of the Quiet Sun by Wilson Tucker (1971) | Science Fiction
Star Light by Hal Clement (1971) | Science fiction
To Your Scattered Bodies Go by Philip José Farmer (1972) | Science Fiction
The Lathe of Heaven by Ursula K. Le Guin (1972) | Science Fiction
Dragonquest by Anne McCaffrey (1972) | Science Fiction novel
Jack of Shadows by Roger Zelazny (1972) | Science fiction
A Time of Changes by Robert Silverberg (1972) | Science fiction
The Gods Themselves by Isaac Asimov (1973) | Science fiction
When Harlie Was One by David Gerrold (1973) | Science fiction novel
There Will Be Time by Poul Anderson (1973) | Science fiction novel
The Book of Skulls by Robert Silverberg (1973) | Science fiction novel
Dying Inside by Robert Silverberg (1973) | Science fiction
A Choice of Gods by Clifford D. Simak (1973) | unknown
Rendezvous with Rama by Arthur C. Clarke (1974) | Science fiction novel
Time Enough for Love by Robert A. Heinlein (1974) | Science fiction novel
Protector by Larry Niven (1974) | Science fiction
The People of the Wind by Poul Anderson (1974) | unknown
The Man Who Folded Himself by David Gerrold (1974) | Science fiction novel
The Dispossessed by Ursula K. Le Guin (1975) | Science fiction
Fire Time by Poul Anderson (1975) | Science fiction novel
Flow My Tears, the Policeman Said by Philip K. Dick (1975) | science fiction novel
The Mote in God's Eye by Larry Niven (1975) | Science fiction
Inverted World by Christopher Priest (1975) | unknown
The Forever War by Joe Haldeman (1976) | Military science fiction
Doorways in the Sand by Roger Zelazny (1976) | Science fiction
Inferno by Larry Niven (1976) | Science fiction
The Computer Connection by Alfred Bester (1976) | Science fiction
The Stochastic Man by Robert Silverberg (1976) | unknown
Where Late the Sweet Birds Sang by Kate Wilhelm (1977) | Science fiction
Mindbridge by Joe Haldeman (1977) | unknown
Children of Dune by Frank Herbert (1977) | Science fiction novel
Man Plus by Frederik Pohl (1977) | Science fiction
Shadrach in the Furnace by Robert Silverberg (1977) | Science-fiction
Gateway by Frederik Pohl (1978) | Science fiction
The Forbidden Tower by Marion Zimmer Bradley (1978) | Fantasy
Lucifer's Hammer by Larry Niven (1978) | Science fiction
Time Storm by Gordon R. Dickson (1978) | unknown
Dying of the Light by George R. R. Martin (1978) | Science fiction novel
Dreamsnake by Vonda N. McIntyre (1979) | Science fiction novel
The White Dragon by Anne McCaffrey (1979) | Science Fiction novel
The Faded Sun: Kesrith by C. J. Cherryh (1979) | Science fiction
Blind Voices by Tom Reamy (1979) | unknown
The Fountains of Paradise by Arthur C. Clarke (1980) | Science fiction novel
Titan by John Varley (1980) | Science fiction
Jem by Frederik Pohl (1980) | unknown
Harpist in the Wind by Patricia A. McKillip (1980) | Fantasy novel
On Wings of Song by Thomas Disch (1980) | science fiction
The Snow Queen by Joan D. Vinge (1981) | Science fiction
Lord Valentine's Castle by Robert Silverberg (1981) | unknown
The Ringworld Engineers by Larry Niven (1981) | Science fiction
Beyond the Blue Event Horizon by Frederik Pohl (1981) | Science fiction
Wizard by John Varley (1981) | Science fiction
Downbelow Station by C. J. Cherryh (1982) | Military science fiction
The Claw of the Conciliator by Gene Wolfe (1982) | Science fiction
The Many Colored Land by Julian May (1982) | unknown
Project Pope by Clifford D. Simak (1982) | unknown
Little, Big by John Crowley (1982) | Fantasy
Foundation's Edge by Isaac Asimov (1983) | science fiction novel
The Pride of Chanur by C. J. Cherryh (1983) | Science fiction
2010: Odyssey Two by Arthur C. Clarke (1983) | Science fiction novel
Friday by Robert A. Heinlein (1983) | science fiction novel
Courtship Rite by Donald Kingsbury (1983) | Science fiction
The Sword of the Lictor by Gene Wolfe (1983) | Science fiction
Startide Rising by David Brin (1984) | unknown
Tea with the Black Dragon by R. A. MacAvoy (1984) | Fantasy
Millennium by John Varley (1984) | Science fiction
Moreta: Dragonlady of Pern by Anne McCaffrey (1984) | Science Fiction novel
The Robots of Dawn by Isaac Asimov (1984) | Science fiction novel
Neuromancer by William Gibson (1985) | cyberpunk
Emergence by David R. Palmer (1985) | Science fiction novel
The Peace War by Vernor Vinge (1985) | Science fiction
Job: A Comedy of Justice by Robert A. Heinlein (1985) | Science fiction novel
The Integral Trees by Larry Niven (1985) | Science fiction
Ender's Game by Orson Scott Card (1986) | Science fiction
Cuckoo's Egg by C. J. Cherryh (1986) | Science fiction
The Postman by David Brin (1986) | Post-apocalyptic science-fiction
Footfall by Larry Niven (1986) | Science fiction novel
Blood Music by Greg Bear (1986) | Science fiction novel
Speaker for the Dead by Orson Scott Card (1987) | Science fiction
The Ragged Astronauts by Bob Shaw (1987) | unknown
Count Zero by William Gibson (1987) | Science fiction novel
Marooned in Realtime by Vernor Vinge (1987) | Science fiction novel
Black Genesis by L. Ron Hubbard (1987) | unknown
The Uplift War by David Brin (1988) | Science fiction
When Gravity Fails by George Alec Effinger (1988) | Science fiction
Seventh Son by Orson Scott Card (1988) | Fantasy
The Forge of God by Greg Bear (1988) | science fiction novel
The Urth of the New Sun by Gene Wolfe (1988) | Science fiction
Cyteen by C. J. Cherryh (1989) | Science Fiction
Red Prophet by Orson Scott Card (1989) | Fantasy
Falling Free by Lois McMaster Bujold (1989) | Science fiction novel
Islands in the Net by Bruce Sterling (1989) | Science fiction
Mona Lisa Overdrive by William Gibson (1989) | Science fiction
Hyperion by Dan Simmons (1990) | Science fantasy
A Fire in the Sun by George Alec Effinger (1990) | Science fiction
Prentice Alvin by Orson Scott Card (1990) | Fantasy
The Boat of a Million Years by Poul Anderson (1990) | Science fiction novel
Grass by Sheri S. Tepper (1990) | unknown
The Vor Game by Lois McMaster Bujold (1991) | Science fiction
Earth by David Brin (1991) | Science fiction novel
The Fall of Hyperion by Dan Simmons (1991) | Science fiction novel
The Quiet Pools by Michael P. Kube-McDowell (1991) | unknown
Queen of Angels by Greg Bear (1991) | Science fiction
Barrayar by Lois McMaster Bujold (1992) | Science fiction
Bone Dance by Emma Bull (1992) | Fantasy novel
All the Weyrs of Pern by Anne McCaffrey (1992) | Science fiction novels
The Summer Queen by Joan D. Vinge (1992) | unknown
Xenocide by Orson Scott Card (1992) | Science fiction
Stations of the Tide by Michael Swanwick (1992) | Science fiction
A Fire Upon the Deep by Vernor Vinge (1993) | Hard science fiction
Doomsday Book by Connie Willis (1993) | Science fiction
Red Mars by Kim Stanley Robinson (1993) | Science fiction
China Mountain Zhang by Maureen F. McHugh (1993) | Science fiction
Steel Beach by John Varley (1993) | Science fiction
Green Mars by Kim Stanley Robinson (1994) | Science fiction
Moving Mars by Greg Bear (1994) | Science fiction
Beggars in Spain by Nancy Kress (1994) | science fiction novel
Glory Season by David Brin (1994) | Science fiction
Virtual Light by William Gibson (1994) | Science fiction
Mirror Dance by Lois McMaster Bujold (1995) | Science fiction
Mother of Storms by John Barnes (1995) | unknown
Beggars and Choosers by Nancy Kress (1995) | Science fiction novel
Brittle Innings by Michael Bishop (1995) | unknown
Towing Jehovah by James Morrow (1995) | unknown
The Diamond Age by Neal Stephenson (1996) | Science fiction novel
The Time Ships by Stephen Baxter (1996) | unknown
Brightness Reef by David Brin (1996) | Science fiction
The Terminal Experiment by Robert J. Sawyer (1996) | Science fiction
Remake by Connie Willis (1996) | Science fiction
Blue Mars by Kim Stanley Robinson (1997) | Science fiction
Memory by Lois McMaster Bujold (1997) | Science fiction
Remnant Population by Elizabeth Moon (1997) | Science fiction
Starplex by Robert J. Sawyer (1997) | unknown
Holy Fire by Bruce Sterling (1997) | Science fiction novel
Forever Peace by Joe Haldeman (1998) | Science fiction
City on Fire by Walter Jon Williams (1998) | Science fiction novel
The Rise of Endymion by Dan Simmons (1998) | Science fiction
Frameshift by Robert J. Sawyer (1998) | unknown
Jack Faust by Michael Swanwick (1998) | Steam-Punk
To Say Nothing of the Dog by Connie Willis (1999) | Science fiction
Children of God by Mary Doria Russell (1999) | Science fiction novel
Darwinia by Robert Charles Wilson (1999) | Science fiction
Distraction by Bruce Sterling (1999) | unknown
Factoring Humanity by Robert J. Sawyer (1999) | unknown
